fpType,relIndex,absIndex,fpName,smarts
insilico,3103,11666,Un11666,[CX4]([CH3])[CH0]([CX4])([CX4])[OH1]
insilico,3104,11673,Un11673,[cX3](a)[cH0]([cX3]([cX3](a)[cX3]a)a)[BrH0]
insilico,3105,11674,Un11674,[CH2]([CX4])[CX4][FH0]
insilico,3106,11675,Un11675,[CH3][CH1]([CH2][#6])[CH1]1[CH2][CH2][CH1]([CH0]1([#6])[CH3])[#6]
insilico,3107,11676,Un11676,[cX3](a)[cH0]([cH1][cX3](a)[OH0][CX4])[OH1]
insilico,3108,11680,Un11680,[cX3](a)([cX3](a)-[cX3]([cX3]([cX3](a)[OH1]))a)[OX2]
insilico,3109,11681,Un11681,O=[CH0]([#8])[cH0](:[#6]):[cH1]:[#6]
insilico,3110,11683,Un11683,[cX3](a)([cX3](a)[cH0]([cX3]a)[OH0][CX4]([CX4][OH1]))a
insilico,3111,11685,Un11685,[CX4][cH0]1[cH1][cH1][cX3]([cH1][cH1]1)
insilico,3112,11686,Un11686,[#6][CH2][CH1]([#6])N([CH0](=[#8])[#6])[#6]
insilico,3113,11687,Un11687,[cX3](a)([nX2]a)[CX4]([CH2][CH2][CX4])
insilico,3114,11688,Un11688,O=[CH0](N[cH0](:[cH1]:[#6]):[#6])[CH2][#7]
insilico,3115,11690,Un11690,[CX4][CH2][CX4]([CX4]([CH2][CH1]([CX4])[CH3]))
insilico,3116,11691,Un11691,[cX3](a)[cH1][cX3](a)[nH0][nX2]a
insilico,3117,11692,Un11692,[nX2](a)[cX3]([cX3](a)[cX3](a)[cX3]([cH1][cH1][cX3]a)a)a
insilico,3118,11693,Un11693,[#16][CH2][cH0]1:[cH1]:[cH1]:[cH1]:[#6](:[cH1]1)
insilico,3119,11695,Un11695,[CH3][cH0](:[cH1]:[cH0](:[#7])[#6]):[#7]
insilico,3120,11696,Un11696,[CH3][OH0][cH0]1[cH1][cH1][cH0]([cH1][cH1]1)-[cX3]([cH1][cX3]a)a
insilico,3121,11697,Un11697,[cX3]1[cH1][cH0]([cH1][cH0]([cH0]1[OX2])[OX2])[CH1]=[CH1][CH0](=[OH0])[NX3]
insilico,3122,11698,Un11698,[CX4][CX4]([CX4][cX3]([cH1][oX2]a)a)[CH3]
insilico,3123,11703,Un11703,[#6][cH0](:[#6]):[cH0](:n:[#6])Cl
insilico,3124,11704,Un11704,[OX2][cH0]1[cX3]([cX3]([cX3]([cH0]([cX3]1)[OH1])))
insilico,3125,11705,Un11705,[CX4]([CH3])[CH1]1[CX4]([CX4]([CH0]([CX4])([CX4]([CX4]1))[CH3]))
insilico,3126,11707,Un11707,[CX4]([CX4][CH2][CH2][CH2][CX4])[NH1][CX3](=[OH0])
insilico,3127,11709,Un11709,[#6]N1[#6][#6]N([CH2][CH2]1)[CH2][cH0](:[#6]):[#6]
insilico,3128,11710,Un11710,[cX3](a)[cH1][cH1][cX3](a)[NH1][CX3][CX4]([CH3])
